period,rank,municipality,mszu,pos,gov_publics,goskey,transport,urban_environment,gisogd,education,sport,stray_animals,broadband,official_total,official_group,source_id
2026-04,1,Ашинский МО,91.26,80.00,98.46,100.00,100.00,50.82,77.78,100.00,63.84,,98.08,86.02,leader,rating-2026-04
2026-04,2,Магнитогорский ГО,85.61,92.86,96.55,100.00,100.00,37.89,100.00,50.00,94.50,,100.00,85.74,leader,rating-2026-04
2026-04,3,Южноуральский ГО,94.12,81.43,95.46,100.00,100.00,45.84,100.00,50.00,,,100.00,85.20,leader,rating-2026-04
2026-04,4,Пластовский МО,95.38,84.29,86.59,100.00,100.00,35.71,100.00,50.00,,,100.00,83.55,intermediate,rating-2026-04
2026-04,5,Коркинский МО,96.60,88.57,99.17,100.00,100.00,7.39,100.00,50.00,86.09,,100.00,82.78,intermediate,rating-2026-04
2026-04,6,Красноармейский МО,95.56,97.14,99.29,100.00,100.00,35.21,68.67,50.00,,,88.06,81.55,intermediate,rating-2026-04
2026-04,7,Верхнеуфалейский ГО,91.18,71.43,91.02,100.00,100.00,48.65,100.00,50.00,53.59,,100.00,80.59,intermediate,rating-2026-04
2026-04,8,Локомотивный ГО,75.34,65.71,89.46,100.00,,35.77,70.00,100.00,,,100.00,79.54,intermediate,rating-2026-04
2026-04,9,Снежинский ГО,86.04,65.71,91.14,100.00,100.00,47.31,100.00,25.00,69.60,,100.00,78.48,intermediate,rating-2026-04
2026-04,10,Каслинский МО,94.96,81.43,95.75,100.00,100.00,46.70,22.73,50.00,87.71,,100.00,77.93,intermediate,rating-2026-04
2026-04,11,Челябинский ГО,74.29,65.71,96.30,100.00,100.00,38.30,100.00,50.00,55.39,,99.11,77.91,intermediate,rating-2026-04
2026-04,12,Трехгорный ГО,85.84,82.86,90.28,100.00,100.00,31.44,100.00,25.00,63.29,,100.00,77.87,intermediate,rating-2026-04
2026-04,13,Нязепетровский МО,90.79,92.86,93.25,100.00,100.00,21.53,80.00,25.00,75.06,,100.00,77.85,intermediate,rating-2026-04
2026-04,14,Копейский ГО,70.28,68.57,87.08,100.00,100.00,10.68,100.00,50.00,82.95,,100.00,76.96,intermediate,rating-2026-04
2026-04,15,Еманжелинский МО,84.85,78.57,99.02,100.00,100.00,33.32,90.00,25.00,55.86,,100.00,76.66,intermediate,rating-2026-04
2026-04,16,Чебаркульский ГО,88.67,75.71,94.74,100.00,100.00,32.35,0.00,100.00,71.84,,100.00,76.33,intermediate,rating-2026-04
2026-04,17,Катав-Ивановский МО,92.57,64.29,94.43,100.00,100.00,39.95,36.67,50.00,,,100.00,75.32,intermediate,rating-2026-04
2026-04,18,Брединский МО,84.54,75.71,92.69,100.00,100.00,1.91,93.64,50.00,,,73.33,74.65,intermediate,rating-2026-04
2026-04,19,Карабашский ГО,62.45,61.43,86.37,100.00,100.00,8.03,100.00,50.00,,,100.00,74.25,intermediate,rating-2026-04
2026-04,20,Варненский МО,97.51,70.00,100.00,100.00,100.00,34.38,13.85,50.00,,,100.00,73.97,intermediate,rating-2026-04
2026-04,21,Троицкий МО,88.08,85.71,74.43,100.00,100.00,18.62,100.00,0.00,,,97.67,73.83,intermediate,rating-2026-04
2026-04,22,Октябрьский МО,88.32,65.71,92.24,100.00,100.00,2.07,38.46,100.00,,,70.45,73.03,intermediate,rating-2026-04
2026-04,23,Кусинский МО,82.70,72.86,85.00,100.00,100.00,7.72,80.00,50.00,,,78.95,73.02,intermediate,rating-2026-04
2026-04,24,Кизильский МО,93.79,70.00,79.36,100.00,66.67,2.23,45.00,100.00,,,100.00,73.00,intermediate,rating-2026-04
2026-04,25,Кыштымский ГО,84.50,84.29,88.64,100.00,100.00,39.39,70.00,25.00,27.82,,100.00,71.96,intermediate,rating-2026-04
2026-04,26,Миасский ГО,84.63,82.86,98.52,100.00,100.00,25.44,30.00,25.00,72.75,,100.00,71.92,intermediate,rating-2026-04
2026-04,27,Аргаяшский МО,77.30,78.57,95.14,100.00,100.00,28.75,60.00,25.00,,,77.78,71.39,intermediate,rating-2026-04
2026-04,28,Златоустовский ГО,82.35,80.00,78.44,100.00,66.67,12.74,100.00,50.00,43.02,,100.00,71.32,intermediate,rating-2026-04
2026-04,29,Озерский ГО,80.42,68.57,68.62,100.00,100.00,8.35,70.00,50.00,,,91.67,70.85,intermediate,rating-2026-04
2026-04,30,Сосновский МО,92.76,64.29,80.07,100.00,100.00,28.44,83.13,50.00,,,38.10,70.75,intermediate,rating-2026-04
2026-04,31,Карталинский МО,81.25,82.86,92.63,100.00,100.00,40.97,2.73,100.00,54.79,,48.57,70.38,intermediate,rating-2026-04
2026-04,32,Уйский МО,88.45,64.29,80.66,100.00,100.00,21.34,63.64,25.00,,,85.19,69.84,lagging,rating-2026-04
2026-04,33,Чебаркульский МО,82.39,80.00,65.21,100.00,100.00,35.12,30.00,25.00,,,100.00,68.64,lagging,rating-2026-04
2026-04,34,Нагайбакский МО,83.49,90.00,82.60,100.00,100.00,31.47,36.00,25.00,,,66.67,68.36,lagging,rating-2026-04
2026-04,35,Усть-Катавский ГО,81.72,87.14,100.00,100.00,100.00,22.41,0.00,25.00,51.40,,100.00,66.77,lagging,rating-2026-04
2026-04,36,Троицкий ГО,83.71,68.57,81.85,100.00,100.00,23.62,0.00,50.00,59.48,,100.00,66.72,lagging,rating-2026-04
2026-04,37,Увельский МО,88.62,70.00,96.03,100.00,100.00,18.14,6.00,50.00,,,66.67,66.16,lagging,rating-2026-04
2026-04,38,Агаповский МО,74.45,80.00,87.71,42.86,100.00,18.49,59.00,25.00,71.51,,100.00,65.90,lagging,rating-2026-04
2026-04,39,Чесменский МО,89.17,84.29,100.00,100.00,100.00,9.67,0.00,25.00,,,75.00,64.79,lagging,rating-2026-04
2026-04,40,Верхнеуральский МО,72.36,67.14,81.09,28.57,100.00,68.51,3.00,50.00,,,100.00,63.41,lagging,rating-2026-04
2026-04,41,Саткинский МО,81.59,82.86,83.72,100.00,33.33,11.58,30.00,25.00,85.55,,97.06,63.07,lagging,rating-2026-04
2026-04,42,Еткульский МО,84.36,84.29,82.26,100.00,33.33,1.45,5.00,25.00,,,100.00,57.30,lagging,rating-2026-04
2026-04,43,Кунашакский МО,77.16,44.29,91.11,100.00,100.00,34.94,6.67,25.00,56.77,,13.85,54.98,lagging,rating-2026-04
