period,rank,municipality,mszu,pos,gov_publics,goskey,transport,urban_environment,gisogd,education,sport,stray_animals,broadband,official_total,official_group,change_from_previous,source_id
2026-04,30,Сосновский МО,92.76,64.29,80.07,100.00,100.00,28.44,83.13,50.00,,,38.10,70.75,intermediate,,rating-2026-04
2026-05,33,Сосновский МО,92.87,64.29,80.13,100.00,100.00,17.81,83.13,50.00,,,38.10,69.59,lagging,-1.16,rating-2026-05
2026-06,29,Сосновский МО,92.41,64.29,86.97,100.00,100.00,25.46,83.13,100.00,,45.74,100.00,79.80,intermediate,10.21,rating-2026-06
