period,rank,municipality,mszu,pos,gov_publics,goskey,transport,urban_environment,gisogd,education,sport,stray_animals,broadband,official_total,official_group,source_id
2026-06,1,Магнитогорский ГО,86.21,92.86,95.32,100.00,100.00,58.21,100.00,100.00,100.00,88.32,100.00,92.81,leader,rating-2026-06
2026-06,2,Пластовский МО,95.85,94.29,93.90,100.00,100.00,50.55,100.00,75.00,,100.00,100.00,90.96,leader,rating-2026-06
2026-06,3,Южноуральский ГО,94.18,84.29,97.82,100.00,100.00,57.29,100.00,75.00,,100.00,100.00,90.86,leader,rating-2026-06
2026-06,4,Ашинский МО,91.08,80.00,99.23,100.00,100.00,50.64,77.78,100.00,97.10,100.00,100.00,90.53,leader,rating-2026-06
2026-06,5,Красноармейский МО,94.61,97.14,99.29,90.00,100.00,57.62,68.67,100.00,,100.00,97.01,90.43,leader,rating-2026-06
2026-06,6,Еманжелинский МО,86.32,78.57,98.04,100.00,100.00,35.44,90.00,100.00,76.02,95.45,100.00,87.26,leader,rating-2026-06
2026-06,7,Кыштымский ГО,85.37,94.29,87.32,100.00,100.00,45.77,70.00,100.00,77.03,100.00,100.00,87.25,leader,rating-2026-06
2026-06,8,Брединский МО,87.87,74.29,87.24,100.00,100.00,52.18,93.64,100.00,,100.00,75.56,87.08,leader,rating-2026-06
2026-06,9,Кусинский МО,82.89,84.29,100.00,100.00,100.00,14.72,80.00,100.00,,100.00,100.00,86.19,leader,rating-2026-06
2026-06,10,Троицкий МО,92.43,85.71,90.84,100.00,100.00,17.40,100.00,75.00,,100.00,100.00,86.14,leader,rating-2026-06
2026-06,11,Карабашский ГО,63.46,81.43,93.18,100.00,100.00,69.76,100.00,50.00,,100.00,100.00,85.78,leader,rating-2026-06
2026-06,12,Верхнеуфалейский ГО,91.16,74.29,88.47,100.00,100.00,56.11,100.00,100.00,66.54,65.38,100.00,85.63,leader,rating-2026-06
2026-06,13,Чебаркульский ГО,90.00,75.71,92.57,100.00,100.00,29.46,100.00,100.00,100.00,51.46,100.00,85.38,leader,rating-2026-06
2026-06,14,Нязепетровский МО,91.97,95.71,94.47,100.00,100.00,22.38,80.00,50.00,100.00,100.00,100.00,84.96,intermediate,rating-2026-06
2026-06,15,Челябинский ГО,76.37,65.71,96.25,100.00,100.00,54.30,100.00,75.00,66.22,99.04,100.00,84.81,intermediate,rating-2026-06
2026-06,16,Октябрьский МО,89.69,68.57,99.13,100.00,100.00,52.29,38.46,100.00,,100.00,92.05,84.02,intermediate,rating-2026-06
2026-06,17,Уйский МО,89.23,71.43,90.82,100.00,100.00,24.31,63.64,100.00,,100.00,100.00,83.94,intermediate,rating-2026-06
2026-06,18,Трехгорный ГО,87.27,81.43,90.57,100.00,100.00,37.12,100.00,50.00,76.19,100.00,100.00,83.87,intermediate,rating-2026-06
2026-06,19,Нагайбакский МО,83.95,92.86,92.23,100.00,100.00,64.98,36.00,100.00,,100.00,66.67,83.67,intermediate,rating-2026-06
2026-06,20,Златоустовский ГО,83.63,82.86,78.89,100.00,66.67,17.65,100.00,100.00,83.59,100.00,100.00,83.03,intermediate,rating-2026-06
2026-06,21,Коркинский МО,96.94,97.14,99.14,100.00,100.00,10.77,100.00,75.00,96.85,31.25,100.00,82.46,intermediate,rating-2026-06
2026-06,22,Копейский ГО,71.29,80.00,89.86,100.00,100.00,13.28,100.00,75.00,83.02,94.12,100.00,82.41,intermediate,rating-2026-06
2026-06,23,Варненский МО,92.03,64.29,96.21,100.00,100.00,57.85,13.85,100.00,,94.44,100.00,81.87,intermediate,rating-2026-06
2026-06,24,Локомотивный ГО,79.31,62.86,84.91,100.00,,35.97,70.00,100.00,,100.00,100.00,81.45,intermediate,rating-2026-06
2026-06,25,Снежинский ГО,86.95,74.29,90.48,100.00,100.00,48.41,100.00,25.00,73.10,93.33,100.00,81.05,intermediate,rating-2026-06
2026-06,26,Карталинский МО,84.73,85.71,87.68,100.00,100.00,45.24,2.73,100.00,79.03,100.00,97.14,80.21,intermediate,rating-2026-06
2026-06,27,Каслинский МО,94.70,92.86,98.94,100.00,100.00,46.58,22.73,100.00,100.00,26.32,100.00,80.19,intermediate,rating-2026-06
2026-06,28,Аргаяшский МО,81.57,75.71,91.58,100.00,100.00,39.99,60.00,50.00,,100.00,100.00,79.89,intermediate,rating-2026-06
2026-06,29,Сосновский МО,92.41,64.29,86.97,100.00,100.00,25.46,83.13,100.00,,45.74,100.00,79.80,intermediate,rating-2026-06
2026-06,30,Чебаркульский МО,85.36,81.43,78.40,100.00,100.00,35.31,30.00,75.00,,100.00,100.00,78.55,intermediate,rating-2026-06
2026-06,31,Озерский ГО,81.10,70.00,77.32,100.00,100.00,11.16,70.00,75.00,,100.00,100.00,78.46,intermediate,rating-2026-06
2026-06,32,Миасский ГО,85.22,82.86,99.51,100.00,100.00,22.67,30.00,75.00,84.36,82.41,100.00,78.37,intermediate,rating-2026-06
2026-06,33,Кизильский МО,95.33,70.00,93.77,100.00,66.67,52.53,45.00,100.00,,57.14,100.00,78.04,intermediate,rating-2026-06
2026-06,34,Увельский МО,88.32,81.43,94.03,100.00,100.00,51.64,6.00,75.00,,95.24,87.50,77.92,intermediate,rating-2026-06
2026-06,35,Верхнеуральский МО,71.30,74.29,83.58,100.00,100.00,68.72,3.00,75.00,,88.89,100.00,76.48,intermediate,rating-2026-06
2026-06,36,Агаповский МО,79.13,90.00,95.80,100.00,100.00,24.57,59.00,50.00,71.17,52.17,100.00,74.71,intermediate,rating-2026-06
2026-06,37,Катав-Ивановский МО,93.50,78.57,94.43,66.67,100.00,37.37,40.00,100.00,,36.36,100.00,74.69,intermediate,rating-2026-06
2026-06,38,Чесменский МО,89.33,87.14,100.00,100.00,100.00,13.12,0.00,75.00,,100.00,47.92,71.25,intermediate,rating-2026-06
2026-06,39,Кунашакский МО,81.99,52.86,96.51,33.33,100.00,35.10,6.67,75.00,98.08,83.33,100.00,69.35,lagging,rating-2026-06
2026-06,40,Троицкий ГО,84.49,80.00,75.91,100.00,100.00,25.94,0.00,100.00,70.52,20.14,100.00,68.82,lagging,rating-2026-06
2026-06,41,Усть-Катавский ГО,80.36,97.14,96.77,40.00,100.00,34.56,0.00,100.00,51.88,27.27,100.00,66.18,lagging,rating-2026-06
2026-06,42,Еткульский МО,87.82,85.71,81.37,50.00,100.00,41.15,5.00,100.00,,0.00,100.00,65.11,lagging,rating-2026-06
2026-06,43,Саткинский МО,81.67,82.86,91.96,100.00,33.33,19.96,30.00,75.00,85.55,37.50,63.46,63.75,lagging,rating-2026-06
